Title,Model,Epoch,st,train_cross_entropy,valid_cross_entropy,valid_accuracy
TRAIN_PROGRESS,00000,0,50,1.2536264096989351,0.750554027557373,0.7484
TRAIN_PROGRESS,00000,0,100,0.6722507627805074,0.5717579483985901,0.8152
TRAIN_PROGRESS,00000,1,50,0.5345804497793123,0.5103643345832825,0.8293
TRAIN_PROGRESS,00000,1,100,0.4866413160165151,0.47477550864219664,0.8401
TRAIN_PROGRESS,00000,2,50,0.45228651940048514,0.456270614862442,0.8446
TRAIN_PROGRESS,00000,2,100,0.43566993474960325,0.43668949365615845,0.8524
TRAIN_PROGRESS,00000,3,50,0.4160476903636734,0.4262809860706329,0.8548
TRAIN_PROGRESS,00000,3,100,0.40592909495035806,0.4138005268573761,0.8596
TRAIN_PROGRESS,00000,4,50,0.3915276743777811,0.40652489066123965,0.8605
TRAIN_PROGRESS,00000,4,100,0.3851429394880931,0.3968768501281738,0.8649
TRAIN_PROGRESS,00000,5,50,0.3746571057028585,0.3929219126701355,0.8652
TRAIN_PROGRESS,00000,5,100,0.369116104443868,0.3838741934299469,0.8685
TRAIN_PROGRESS,00000,6,50,0.3601325936131663,0.38162994623184204,0.8692
TRAIN_PROGRESS,00000,6,100,0.3558931577205658,0.3739869213104248,0.8707
TRAIN_PROGRESS,00000,7,50,0.3472058250479502,0.3728324580192566,0.8707
TRAIN_PROGRESS,00000,7,100,0.34461119771003723,0.36557831764221194,0.874
TRAIN_PROGRESS,00000,8,50,0.3371900560019852,0.36571435928344725,0.8726
TRAIN_PROGRESS,00000,8,100,0.33471437454223635,0.3592642164230347,0.8757
TRAIN_PROGRESS,00000,9,50,0.32796531451212896,0.35971791863441466,0.8755
TRAIN_PROGRESS,00000,9,100,0.3259081570307414,0.3534966552257538,0.8773
TRAIN_PROGRESS,00000,10,50,0.31866017780075334,0.3535981523990631,0.8766
TRAIN_PROGRESS,00000,10,100,0.3176687055826187,0.3491356647014618,0.8799
TRAIN_PROGRESS,00000,11,50,0.3118310019180372,0.3492876255512238,0.8778
TRAIN_PROGRESS,00000,11,100,0.31041735033194223,0.3451692235469818,0.8812
TRAIN_PROGRESS,00000,12,50,0.30470349591273765,0.3453193247318268,0.8784
